"real","City","SMA","Level","Offset","AICc","BIC","RMSE","DevianceExplained","DevExact","SampleSize","ResidualShapiroWilkTest","ACFResidual","perm"
1,"Pickering","1d","Elementary",1,-115.44,-112.15,1.92084109101956,0.39,0.387082372378112,26,0.0806,0.321520084508819,"Pickering|Elementary|1d"
1,"Ajax","1d","Elementary",-6,-78.95,-78.26,2.09811809706587,0.26,0.260958309288654,18,0.508,0.1340315229434,"Ajax|Elementary|1d"
1,"Ajax","3d","Elementary",-4,-102.24,-103.49,0.740728293333488,0.73,0.729561816751591,17,0.0955,-0.0555829988341566,"Ajax|Elementary|3d"
1,"Ajax","5d","Elementary",-1,-150.56,-146.95,1.19575978371942,0.75,0.747833283584398,27,0.6733,0.164605877232197,"Ajax|Elementary|5d"
1,"Ajax","7d","Elementary",5,-349.69,-336.1,0.426525776145341,0.98,0.976953412552742,50,0.5452,-0.0849832911231008,"Ajax|Elementary|7d"
1,"Pickering","1d","Secondary",1,-164.45,-160.59,0.991346748659967,0.25,0.25035748670611,28,0.3284,0.374297856414829,"Pickering|Secondary|1d"
1,"Ajax","1d","Secondary",-3,-57.17,-75.38,0.375532148318667,0.93,0.930120139088806,11,0.8891,0.105406357767955,"Ajax|Secondary|1d"
1,"Ajax","3d","Secondary",3,-119.16,-119.57,0.627249771092524,0.52,0.515167242800789,18,0.5266,0.375582356223938,"Ajax|Secondary|3d"
1,"Ajax","5d","Secondary",1,-178.13,-178.21,0.519536696985976,0.86,0.86450346515096,27,0.1666,-0.0589636951263651,"Ajax|Secondary|5d"
1,"Ajax","7d","Secondary",-1,-401.32,-385.47,0.327398506230782,0.94,0.940127907707754,52,0.9939,0.0919656317720398,"Ajax|Secondary|7d"
1,"Pickering","1d","Total",1,-129.07,-125.79,1.53759357613758,0.4,0.398000285088359,26,0.3136,0.340936763868117,"Pickering|Total|1d"
1,"Ajax","1d","Total",-6,-88.73,-88.11,1.55318638228511,0.36,0.357490852809223,18,0.9972,0.13701093915456,"Ajax|Total|1d"
1,"Ajax","3d","Total",-2,-110.85,-111.37,0.718513352537919,0.69,0.691024485046017,18,0.4491,0.301062705979211,"Ajax|Total|3d"
1,"Ajax","5d","Total",-1,-159.82,-156.78,0.895991958508821,0.79,0.789156413936793,27,0.8028,0.0862466751186997,"Ajax|Total|5d"
1,"Ajax","7d","Total",5,-358.77,-344.8,0.384419149771604,0.97,0.968109144769635,50,0.2846,0.0428884914380019,"Ajax|Total|7d"
2,"Pickering","1d","Elementary",6,-81.7,-80.88,2.01423925609092,0.34,0.344819891671625,20,0.0705,0.312941370989423,"Pickering|Elementary|1d"
2,"Ajax","1d","Elementary",1,-68.59,-69.74,1.67357478216558,0.62,0.622859402189371,15,0.9853,-0.145852571827296,"Ajax|Elementary|1d"
2,"Ajax","3d","Elementary",-7,-243.38,-232.39,1.31976420629099,0.74,0.738343556114209,45,0.6079,0.354379692720809,"Ajax|Elementary|3d"
2,"Ajax","5d","Elementary",0,-206.94,-201.96,0.566562713257141,0.92,0.924955793154213,31,0.2119,0.376310792203456,"Ajax|Elementary|5d"
2,"Pickering","1d","Secondary",1,-163.59,-160.81,1.11301081996336,0.05,0.0467796446967411,28,0.1527,0.345805584237991,"Pickering|Secondary|1d"
2,"Ajax","1d","Secondary",0,-59.45,-71.01,0.643058769664277,0.74,0.737620170306904,12,0.709,0.0720012135893349,"Ajax|Secondary|1d"
2,"Ajax","5d","Secondary",-2,-242.46,-240.79,0.264411282596823,0.97,0.974616629070028,31,0.2524,-0.012941428375117,"Ajax|Secondary|5d"
2,"Pickering","1d","Total",6,-84.61,-85.13,1.5852754467802,0.36,0.355473159982829,19,0.3522,0.390462431740481,"Pickering|Total|1d"
