"Permutation","City","Level","SMA","Offset","ObservedDev","NullMedian","Percentile","m","r","p","p_se","p_lo95","p_hi95"
"Pickering|Secondary|1d","Pickering","Secondary","1d",1,0.698584383885465,0.254114964219085,0.977,1000,23,0.023976023976024,0.0048350590951788,0.0146345823251768,0.0343123376128543
"Pickering|Elementary|3d","Pickering","Elementary","3d",-2,0.865934901165856,0.723938612452542,1,31,0,0.03125,0.0307578432578586,0,0.11218874692237
"Pickering|Secondary|7d","Pickering","Secondary","7d",-5,0.954695013766505,0.848968209646646,1,23,0,0.0416666666666667,0.04078937543219,0,0.148185128915224
"Pickering|Total|1d","Pickering","Total","1d",1,0.819677673882715,0.486251817158025,0.956609485368315,991,43,0.0443548387096774,0.00653676690461254,0.0315769477259594,0.0580043291445825
"Pickering|Elementary|1d","Pickering","Elementary","1d",1,0.79612472053042,0.478031286390059,0.953861584754263,997,46,0.0470941883767535,0.00670568850413717,0.0339740129597855,0.0610653135247485
"Pickering|Secondary|3d","Pickering","Secondary","3d",0,0.788723820358113,0.677368321808359,1,19,0,0.05,0.0487339717240448,0,0.176466911806965
"Pickering|Total|7d","Pickering","Total","7d",-7,0.955242996218156,0.867708342116025,1,16,0,0.0588235294117647,0.0570672058909019,0,0.205907214207823
"Pickering|Elementary|7d","Pickering","Elementary","7d",2,0.96886962065198,0.871667120486669,1,14,0,0.0666666666666667,0.0644061188719531,0,0.231635761650116
"Pickering|Secondary|5d","Pickering","Secondary","5d",2,0.928051526619222,0.780271356447992,1,12,0,0.0769230769230769,0.0739053017561941,0,0.264648469397051
"Ajax|Elementary|3d","Ajax","Elementary","3d",-1,0.871954788739047,0.770729605958845,0.815614617940199,602,111,0.185737976782753,0.0158370318154022,0.154187596701105,0.217716711631638
"Ajax|Secondary|1d","Ajax","Secondary","1d",7,0.790313745134366,0.629875834445804,0.798941798941799,567,114,0.202464788732394,0.0168606967581091,0.168816046691527,0.236450796305436
"Ajax|Secondary|5d","Ajax","Secondary","5d",7,0.883572411946207,0.819603116216816,0.714821763602251,533,152,0.286516853932584,0.0195657417846269,0.247191995980639,0.325565695762848
"Ajax|Elementary|1d","Ajax","Elementary","1d",1,0.701793603355795,0.611516588508456,0.635897435897436,585,213,0.36518771331058,0.0198898694503894,0.325027167905007,0.404557882294397
"Ajax|Total|1d","Ajax","Total","1d",1,0.629109015641898,0.614679864866088,0.515570934256055,578,280,0.485319516407599,0.0207703323777872,0.442991325009665,0.526026688014416
"Ajax|Total|3d","Ajax","Total","3d",-1,0.785722752383565,0.795057933027724,0.481553398058252,515,267,0.51937984496124,0.0219947325269645,0.474322168050503,0.562358183886516
