"real","n_retained","statistic","scored"
1,11,0.531180800372426,TRUE
2,11,0.484202799731027,TRUE
3,12,0.373572311334219,TRUE
4,9,0.550017292039654,TRUE
5,9,0.3398455404563,TRUE
6,14,0.446212246909149,TRUE
7,10,0.463476376710898,TRUE
8,10,0.403445264928467,TRUE
9,12,0.705103915133599,TRUE
10,10,0.330293496898831,TRUE
11,7,0.519312718807293,TRUE
12,12,0.558674156479891,TRUE
13,9,0.675590647035957,TRUE
14,13,0.521038604425746,TRUE
15,10,0.415566267271409,TRUE
16,12,0.541711358233637,TRUE
17,10,0.65666834460655,TRUE
18,11,0.627044503783613,TRUE
19,9,0.336184514327609,TRUE
20,9,0.776693221108421,TRUE
21,12,0.626717111549375,TRUE
22,6,0.536647987037792,TRUE
23,8,0.557192664538612,TRUE
24,10,0.605323025222892,TRUE
25,9,0.432775169838487,TRUE
26,6,0.538267169603969,TRUE
27,6,0.712747324147005,TRUE
28,7,0.582894060549262,TRUE
29,10,0.432189722443444,TRUE
30,13,0.61793740815349,TRUE
31,9,0.599118093673546,TRUE
32,6,0.543045760350901,TRUE
33,10,0.579420074203807,TRUE
34,10,0.4832583842183,TRUE
35,15,0.508519881852888,TRUE
36,9,0.455730118771464,TRUE
37,12,0.556000403300413,TRUE
38,9,0.487598910576357,TRUE
39,6,0.494106048277394,TRUE
40,11,0.531158115839423,TRUE
41,12,0.598464088964361,TRUE
42,13,0.642290685407566,TRUE
43,10,0.549317874308348,TRUE
44,6,0.638173979389162,TRUE
45,10,0.592748799809749,TRUE
46,10,0.649519612941052,TRUE
47,12,0.436640179514285,TRUE
48,7,0.579345381552626,TRUE
49,8,0.482607568043034,TRUE
50,12,0.412421912818063,TRUE
51,8,0.468462779588152,TRUE
52,9,0.712414553918177,TRUE
53,12,0.408140177708319,TRUE
54,14,0.509034153041755,TRUE
55,12,0.458016230069097,TRUE
56,14,0.493678045426261,TRUE
57,10,0.408927323336904,TRUE
58,15,0.59003570870143,TRUE
59,9,0.554773691396938,TRUE
60,8,0.247940225838059,TRUE
61,7,0.659723087711146,TRUE
62,11,0.46350978250317,TRUE
63,4,NA,FALSE
64,13,0.469237803963283,TRUE
65,4,NA,FALSE
66,8,0.506944799048709,TRUE
67,8,0.31704537403791,TRUE
68,9,0.404474189382381,TRUE
69,9,0.462041278408244,TRUE
70,8,0.566929689098821,TRUE
71,12,0.607969929300513,TRUE
72,8,0.665387412216649,TRUE
73,13,0.379680110656216,TRUE
74,15,0.368130487410615,TRUE
75,13,0.255916545391332,TRUE
76,9,0.539382986511541,TRUE
77,9,0.462862374672184,TRUE
78,14,0.579168654749997,TRUE
79,9,0.277566717390909,TRUE
80,14,0.759449476530132,TRUE
81,12,0.436310289888184,TRUE
82,10,0.307908068829157,TRUE
83,11,0.491175261181569,TRUE
84,12,0.452404052551106,TRUE
85,8,0.470747874859705,TRUE
86,9,0.43403336898671,TRUE
87,3,NA,FALSE
88,7,0.573165527586506,TRUE
89,9,0.460142272549305,TRUE
90,10,0.67910868321455,TRUE
91,13,0.609758258643327,TRUE
92,12,0.534008537249287,TRUE
93,14,0.554605982366999,TRUE
94,13,0.602544151054521,TRUE
95,6,0.442021623426125,TRUE
96,15,0.552187135689026,TRUE
97,12,0.476897131421447,TRUE
98,12,0.465926447455558,TRUE
99,7,0.264857305077602,TRUE
100,13,0.538646315558389,TRUE
101,11,0.555252323688263,TRUE
102,7,0.678285132537675,TRUE
103,13,0.356889859657919,TRUE
104,6,0.133078842888947,TRUE
105,10,0.4608424429872,TRUE
106,6,0.396360694000258,TRUE
107,9,0.25434240162079,TRUE
108,13,0.439501998444967,TRUE
109,12,0.424045329234616,TRUE
110,9,0.606142742305709,TRUE
111,8,0.490444766549595,TRUE
112,15,0.606866298950331,TRUE
113,11,0.274001408605684,TRUE
114,9,0.712922547368478,TRUE
115,9,0.567443879846463,TRUE
116,8,0.454756885792576,TRUE
117,9,0.58891914146048,TRUE
118,12,0.624756049851846,TRUE
119,12,0.548116765245298,TRUE
120,10,0.46969992478953,TRUE
121,12,0.63635532361816,TRUE
122,6,0.462377351354469,TRUE
123,7,0.394880412582705,TRUE
124,10,0.610753884914718,TRUE
125,12,0.452992455537148,TRUE
126,12,0.507041047536333,TRUE
127,6,0.650775205726532,TRUE
128,9,0.382491762020254,TRUE
129,7,0.631148559676855,TRUE
130,7,0.182398120802013,TRUE
131,7,0.376308312447401,TRUE
132,15,0.414811702818139,TRUE
133,10,0.329557655171048,TRUE
134,10,0.652862380635167,TRUE
135,10,0.367242914203574,TRUE
136,12,0.327930392257734,TRUE
137,13,0.381053042103602,TRUE
138,13,0.428255542932098,TRUE
139,12,0.580729525984853,TRUE
140,10,0.520976885409743,TRUE
141,12,0.468950635427546,TRUE
142,9,0.415402067000607,TRUE
143,15,0.631439906906045,TRUE
144,6,0.604233362264042,TRUE
145,7,0.435577632701102,TRUE
146,8,0.528434125392733,TRUE
147,3,NA,FALSE
148,10,0.438525264295234,TRUE
149,8,0.69651633604026,TRUE
150,6,0.218059781369303,TRUE
151,8,0.630952023226738,TRUE
152,12,0.353280599489597,TRUE
153,6,0.509920563522657,TRUE
154,12,0.454512130687916,TRUE
155,8,0.488568264291989,TRUE
156,9,0.657803741448424,TRUE
157,9,0.382742197587786,TRUE
158,9,0.450891211054007,TRUE
159,14,0.475912499652663,TRUE
160,12,0.449826848831724,TRUE
161,4,NA,FALSE
162,6,0.350944112344445,TRUE
163,12,0.479000231485997,TRUE
164,13,0.672053214622475,TRUE
165,12,0.660725778872218,TRUE
166,8,0.569321542845976,TRUE
167,12,0.545062578097811,TRUE
168,15,0.365261574305764,TRUE
169,10,0.531985940480255,TRUE
170,7,0.523276276321159,TRUE
171,10,0.637163515879045,TRUE
172,12,0.415508838319489,TRUE
173,7,0.359840316010379,TRUE
174,10,0.34802480267785,TRUE
175,11,0.487714518345219,TRUE
176,8,0.418144437191398,TRUE
177,4,NA,FALSE
178,10,0.316359286617216,TRUE
179,13,0.564601773001242,TRUE
180,12,0.494230307506856,TRUE
181,7,0.234728707357553,TRUE
182,6,0.406363591628729,TRUE
183,10,0.443063014158657,TRUE
184,12,0.52185591223109,TRUE
185,7,0.450297256450858,TRUE
186,12,0.546089856508231,TRUE
187,13,0.619925568303546,TRUE
188,13,0.642991176956071,TRUE
189,10,0.521858994544525,TRUE
190,4,NA,FALSE
191,6,0.379183235605265,TRUE
192,15,0.602848993104059,TRUE
193,12,0.464660592349638,TRUE
194,12,0.642457121950939,TRUE
195,15,0.478327357571124,TRUE
196,5,0.485004490724189,TRUE
197,12,0.693985306299574,TRUE
198,9,0.617499923770224,TRUE
199,12,0.224735994446642,TRUE
200,7,0.350178136478074,TRUE
