"real","City","SMA","Level","Offset","AICc","BIC","RMSE","DevianceExplained","DevExact","SampleSize","ResidualShapiroWilkTest","ACFResidual","perm"
1,"Pickering","1d","Elementary",-7,-97.38,-96.61,1.51379775980842,0.56,0.555699165286234,20,0.2651,0.0820179106420788,"Pickering|Elementary|1d"
1,"Ajax","1d","Elementary",-6,-81.58,-82.15,1.40067546444524,0.46,0.461425332090622,17,0.2455,0.0131738259976761,"Ajax|Elementary|1d"
1,"Ajax","5d","Elementary",-1,-151.78,-168.11,0.220305036205881,0.98,0.983770949272621,22,0.1919,0.0293913781420543,"Ajax|Elementary|5d"
1,"Pickering","1d","Secondary",0,-155.24,-152.97,0.66097093698643,0.64,0.63936057663564,23,0.5195,0.211981425113764,"Pickering|Secondary|1d"
1,"Ajax","1d","Secondary",-6,-93.07,-93.77,1.0040907229432,0.33,0.326260020528407,17,0.0982,0.340748717055678,"Ajax|Secondary|1d"
1,"Ajax","3d","Secondary",-5,-220.25,-213.47,0.914862403548499,0.59,0.592912968879473,36,0.3617,0.331740707362221,"Ajax|Secondary|3d"
1,"Ajax","5d","Secondary",-1,-184.29,-198.97,0.11526000793334,0.98,0.981717286551451,22,0.312,0.0899223109452607,"Ajax|Secondary|5d"
1,"Ajax","7d","Secondary",-5,-401.37,-381.22,0.566436083217198,0.82,0.819691239186243,59,0.5924,0.383770276476844,"Ajax|Secondary|7d"
1,"Pickering","1d","Total",-6,-104.81,-102.79,1.73736582255453,0.36,0.35964549879907,22,0.5473,0.284360963103229,"Pickering|Total|1d"
1,"Ajax","1d","Total",-6,-87.99,-87.6,1.31169484386294,0.37,0.37305416268136,17,0.1638,0.0335934886726761,"Ajax|Total|1d"
1,"Ajax","5d","Total",-1,-161.63,-180.72,0.157156006399585,0.99,0.987718926232134,22,0.102,0.0244382085266932,"Ajax|Total|5d"
2,"Pickering","1d","Elementary",1,-119.67,-116.99,2.13415327665922,0.29,0.291898074711604,26,0.824,0.276915536163256,"Pickering|Elementary|1d"
2,"Ajax","1d","Elementary",1,-59.11,-58.92,2.51107032095595,0,7.98123303190971e-05,14,0.9273,0.382898054890798,"Ajax|Elementary|1d"
2,"Ajax","3d","Elementary",6,-158.52,-154.73,1.05573675598791,0.84,0.841971467858304,30,0.7527,0.100889521199551,"Ajax|Elementary|3d"
2,"Ajax","5d","Elementary",3,-159.69,-159.37,0.765810852875027,0.89,0.893892952061428,28,0.9792,0.340446237870265,"Ajax|Elementary|5d"
2,"Pickering","1d","Secondary",1,-167.68,-165.04,0.789268770728389,0.63,0.634049467092204,28,0.4098,0.13537368151597,"Pickering|Secondary|1d"
2,"Ajax","1d","Secondary",-6,-73.12,-78.57,0.580518952479249,0.82,0.821907361645152,12,0.5029,-9.66026725551199e-05,"Ajax|Secondary|1d"
2,"Ajax","5d","Secondary",2,-196.86,-192.59,0.66404365863426,0.82,0.822297210131559,29,0.0731,0.25840891501046,"Ajax|Secondary|5d"
2,"Pickering","1d","Total",1,-132.6,-129.92,1.73068330089387,0.29,0.294623199423721,26,0.6492,0.331372398867488,"Pickering|Total|1d"
2,"Ajax","1d","Total",-6,-34.08,-69.02,0.561067106493508,0.91,0.909040984569131,12,0.0663,0.0588254021078859,"Ajax|Total|1d"
2,"Ajax","3d","Total",5,-172.07,-167.22,0.96403172268132,0.78,0.77592639629186,31,0.595,0.234012423242672,"Ajax|Total|3d"
2,"Ajax","5d","Total",2,-173.22,-171.39,0.730424020006148,0.88,0.881514315483816,29,0.7182,0.358705628578793,"Ajax|Total|5d"
3,"Pickering","1d","Elementary",7,-94.76,-93.99,1.77808099948102,0.52,0.521698834783812,21,0.6341,0.202051251212733,"Pickering|Elementary|1d"
3,"Ajax","3d","Elementary",5,-111.59,-111.2,1.20611600914805,0.79,0.789359688248601,22,0.7242,0.166254748057002,"Ajax|Elementary|3d"
3,"Ajax","5d","Elementary",5,-266.74,-252.57,1.13110042102665,0.78,0.776213381443503,49,0.6943,0.342762752714464,"Ajax|Elementary|5d"
3,"Ajax","7d","Elementary",-7,-351.06,-332.37,0.826792079337912,0.84,0.840530158493837,58,0.8011,0.296563184671775,"Ajax|Elementary|7d"
3,"Pickering","1d","Secondary",-6,-148.1,-145.72,0.807296127812981,0.57,0.574195959039998,24,0.0589,0.188523336970108,"Pickering|Secondary|1d"
3,"Ajax","3d","Secondary",0,-145.96,-144.17,0.793329765330584,0.47,0.469090079513166,24,0.5298,0.244942474987767,"Ajax|Secondary|3d"
3,"Ajax","5d","Secondary",-6,-326.86,-314.75,0.51537238193405,0.83,0.831205071412902,46,0.1174,0.252913050644839,"Ajax|Secondary|5d"
3,"Ajax","7d","Secondary",5,-451.03,-429.67,0.433316425167244,0.91,0.906558929937967,61,0.7994,0.371458536942514,"Ajax|Secondary|7d"
