"Permutation","City","Level","SMA","Offset","ObservedDev","NullMedian","Percentile","m","r","p","p_se","p_lo95","p_hi95"
"Pickering|Total|1d","Pickering","Total","1d",1,0.819677673882715,0.488142414610248,0.963917525773196,194,7,0.041025641025641,0.0142041051855957,0.0146279340868262,0.0729278071319996
"Pickering|Elementary|1d","Pickering","Elementary","1d",1,0.79612472053042,0.445555992190956,0.954314720812183,197,9,0.0505050505050505,0.0155625635982689,0.021100082292359,0.084950815624003
"Pickering|Secondary|1d","Pickering","Secondary","1d",1,0.698584383885465,0.274028451779571,0.945,200,11,0.0597014925373134,0.0167119619812974,0.0277722545520065,0.0962776444339128
"Ajax|Elementary|3d","Ajax","Elementary","3d",-1,0.871954788739047,0.799809239147634,0.773109243697479,119,27,0.233333333333333,0.0386101118975423,0.155159541004387,0.312681106022358
"Pickering|Elementary|3d","Pickering","Elementary","3d",-2,0.865934901165856,0.693703380363322,1,3,0,0.25,0.21650635094611,0,0.707598226178713
"Pickering|Elementary|7d","Pickering","Elementary","7d",2,0.96886962065198,0.891546289865549,1,3,0,0.25,0.21650635094611,0,0.707598226178713
"Pickering|Total|7d","Pickering","Total","7d",-7,0.955242996218156,0.875999306225811,1,3,0,0.25,0.21650635094611,0,0.707598226178713
"Ajax|Secondary|1d","Ajax","Secondary","1d",7,0.790313745134366,0.621866671247332,0.721153846153846,104,29,0.285714285714286,0.0440866714177405,0.195355213742841,0.375339993415327
"Pickering|Secondary|3d","Pickering","Secondary","3d",0,0.788723820358113,0.700547680372075,1,2,0,0.333333333333333,0.272165526975909,0,0.841886116991581
"Pickering|Secondary|5d","Pickering","Secondary","5d",2,0.928051526619222,0.706367798028905,1,2,0,0.333333333333333,0.272165526975909,0,0.841886116991581
"Pickering|Secondary|7d","Pickering","Secondary","7d",-5,0.954695013766505,0.847819630912079,1,2,0,0.333333333333333,0.272165526975909,0,0.841886116991581
"Ajax|Elementary|1d","Ajax","Elementary","1d",1,0.701793603355795,0.592417203109673,0.663551401869159,107,36,0.342592592592593,0.0456661504526053,0.247971250980433,0.434238043587037
"Ajax|Secondary|5d","Ajax","Secondary","5d",7,0.883572411946207,0.879434396277478,0.530769230769231,130,61,0.473282442748092,0.0436227908195847,0.381190909492238,0.558703775350704
"Ajax|Total|1d","Ajax","Total","1d",1,0.629109015641898,0.607722798086741,0.519607843137255,102,49,0.485436893203884,0.0492455622090547,0.380394006073766,0.581558469527504
"Ajax|Total|3d","Ajax","Total","3d",-1,0.785722752383565,0.832018005393147,0.411214953271028,107,63,0.592592592592593,0.047280351000313,0.489511205987303,0.683015766604376
