"City","Virus","n","pair","observed_r","surrogate_r","gap","surrogate_type"
"Pickering","Noro",137,"1d-3d",0.996799251868188,0.422134083545309,0.574665168322879,"multivariate"
"Pickering","Noro",137,"1d-5d",0.755435665608117,0.283011053979844,0.472424611628273,"multivariate"
"Pickering","Noro",321,"3d-5d",0.838285912185696,0.318119825229611,0.520166086956085,"multivariate"
"Pickering","Noro",136,"1d-7d",0.690025889913561,0.301784663060852,0.388241226852709,"multivariate"
"Pickering","Noro",320,"3d-7d",0.71617827031282,0.335553108881717,0.380625161431103,"multivariate"
"Pickering","Noro",356,"5d-7d",0.873579901206423,0.35036077283372,0.523219128372703,"multivariate"
"Pickering","EV",123,"1d-3d",0.999738383770418,0.978291841298394,0.0214465424720238,"multivariate"
"Pickering","EV",123,"1d-5d",0.912768937811973,0.879905718235491,0.0328632195764813,"multivariate"
"Pickering","EV",292,"3d-5d",0.957123990896864,0.932737824653164,0.0243861662437002,"multivariate"
"Pickering","EV",122,"1d-7d",0.916459207122101,0.886629491740318,0.0298297153817834,"multivariate"
"Pickering","EV",291,"3d-7d",0.911599087128996,0.88616287132023,0.0254362158087656,"multivariate"
"Pickering","EV",335,"5d-7d",0.872282262510779,0.847627004174272,0.0246552583365069,"multivariate"
"Pickering","InfA",51,"1d-3d",0.993790665541539,-0.0783175061983923,1.07210817173993,"multivariate"
"Pickering","InfA",51,"1d-5d",0.972790062168181,-0.0878436509340086,1.06063371310219,"multivariate"
"Pickering","InfA",128,"3d-5d",0.97515283676174,-1.36391902489699e-05,0.975166475951989,"multivariate"
"Pickering","InfA",51,"1d-7d",0.943851770607958,-0.033432108287341,0.977283878895299,"multivariate"
"Pickering","InfA",128,"3d-7d",0.910147805617738,0.0820157527050546,0.828132052912683,"multivariate"
"Pickering","InfA",163,"5d-7d",0.902724722494919,0.0300562784765027,0.872668444018416,"multivariate"
"Ajax","Noro",131,"1d-3d",0.998598018596788,0.653038382783227,0.345559635813561,"multivariate"
"Ajax","Noro",131,"1d-5d",0.926398068998941,0.592501973882694,0.333896095116246,"multivariate"
"Ajax","Noro",311,"3d-5d",0.945475280477068,0.585405322165808,0.360069958311261,"multivariate"
"Ajax","Noro",131,"1d-7d",0.909926519269286,0.568817582127765,0.341108937141521,"multivariate"
"Ajax","Noro",311,"3d-7d",0.928459616522284,0.581441775052617,0.347017841469667,"multivariate"
"Ajax","Noro",352,"5d-7d",0.972567018476571,0.619126834322206,0.353440184154366,"multivariate"
"Ajax","EV",127,"1d-3d",0.999707709651374,0.945931451528102,0.0537762581232722,"multivariate"
"Ajax","EV",127,"1d-5d",0.963035247168556,0.904372838462647,0.0586624087059091,"multivariate"
"Ajax","EV",303,"3d-5d",0.967914757626968,0.903854438893121,0.0640603187338469,"multivariate"
"Ajax","EV",127,"1d-7d",0.937836733577042,0.87183642801254,0.0660003055645012,"multivariate"
"Ajax","EV",303,"3d-7d",0.948201294361417,0.876199265618917,0.0720020287424999,"multivariate"
"Ajax","EV",346,"5d-7d",0.982407356388393,0.91096867878672,0.071438677601673,"multivariate"
"Ajax","InfA",41,"1d-3d",0.942251568900172,0.131736490387769,0.810515078512402,"multivariate"
"Ajax","InfA",41,"1d-5d",0.870300072083441,0.143850822193588,0.726449249889853,"multivariate"
"Ajax","InfA",103,"3d-5d",0.928187287623032,0.00541997039717311,0.922767317225859,"multivariate"
"Ajax","InfA",41,"1d-7d",0.856697389613489,0.00370253260482794,0.852994857008661,"multivariate"
"Ajax","InfA",103,"3d-7d",0.906539957694061,-0.049272735373765,0.955812693067826,"multivariate"
"Ajax","InfA",126,"5d-7d",0.957477267066404,-0.0717875233585682,1.02926479042497,"multivariate"
