"real","City","SMA","Level","Offset","AICc","BIC","RMSE","DevianceExplained","DevExact","SampleSize","ResidualShapiroWilkTest","ACFResidual","perm"
1,"Pickering","1d","Elementary",1,-122.09,-118.52,1.89783735056815,0.47,0.466045110876893,27,0.1366,0.322325880935865,"Pickering|Elementary|1d"
1,"Ajax","3d","Elementary",-2,-87.09,-87.07,1.38579494166243,0.64,0.643049293315697,17,0.8105,0.351269062619631,"Ajax|Elementary|3d"
1,"Pickering","1d","Secondary",-6,-151.07,-149.33,0.716025213894965,0.68,0.680454200685833,24,0.8267,0.194777032950829,"Pickering|Secondary|1d"
1,"Ajax","3d","Secondary",-3,-95.63,-99.41,0.695803612508324,0.73,0.731700864786872,16,0.8341,0.276925346463455,"Ajax|Secondary|3d"
1,"Pickering","1d","Total",2,-114.57,-113.19,1.20670824289163,0.62,0.616025743439539,21,0.1484,0.00436541428984082,"Pickering|Total|1d"
1,"Ajax","3d","Total",-2,-91.46,-92.34,1.1230214738431,0.65,0.652303515048831,17,0.9958,0.352012259955304,"Ajax|Total|3d"
1,"Ajax","5d","Total",-7,-184.21,-179.36,0.861457396568757,0.8,0.804694360905456,31,0.5644,0.355398332215596,"Ajax|Total|5d"
2,"Pickering","1d","Elementary",1,-126.06,-123.55,1.48979143466012,0.7,0.701367010292458,26,0.8063,0.202974876670668,"Pickering|Elementary|1d"
2,"Pickering","1d","Secondary",1,-161.49,-158.48,1.15620538324807,0.07,0.0729484968623482,28,0.1777,0.257180496088541,"Pickering|Secondary|1d"
2,"Ajax","3d","Secondary",3,-249.89,-237.83,1.19441323426853,0.6,0.604349392657138,47,0.17,0.21639416539408,"Ajax|Secondary|3d"
2,"Ajax","5d","Secondary",-6,-86.21,-87.24,1.12354325899499,0.5,0.500232273876061,16,0.962,0.392520890477195,"Ajax|Secondary|5d"
2,"Pickering","1d","Total",1,-132.97,-130.11,1.38309714329323,0.58,0.583246941206586,26,0.3761,0.331548871090395,"Pickering|Total|1d"
2,"Ajax","5d","Total",-7,-78.42,-80.97,1.23488707253633,0.67,0.673143038652801,16,0.6699,0.3403073068593,"Ajax|Total|5d"
3,"Pickering","1d","Elementary",0,-99.35,-97.42,2.25816506090854,0.22,0.220502732357445,22,0.2149,0.238900916433694,"Pickering|Elementary|1d"
3,"Ajax","3d","Elementary",5,-142.41,-139.13,1.22809705992088,0.67,0.672956667585616,26,0.7686,0.356866613681662,"Ajax|Elementary|3d"
3,"Pickering","5d","Elementary",3,-475.93,-448.47,1.03952011323055,0.83,0.830798280836202,81,0.0727,0.38036186390349,"Pickering|Elementary|5d"
3,"Ajax","5d","Elementary",-7,-193.62,-187.65,0.904700547555648,0.84,0.837043811519764,33,0.3379,0.37821642458706,"Ajax|Elementary|5d"
3,"Ajax","7d","Elementary",-4,-99.72,-100.48,0.610950327468397,0.32,0.319890406601861,15,0.7405,0.302144991069143,"Ajax|Elementary|7d"
3,"Pickering","1d","Secondary",0,-153.27,-150.94,0.884052002497756,0.31,0.312117335137556,24,0.4592,0.386378094223123,"Pickering|Secondary|1d"
3,"Ajax","3d","Secondary",-2,-158.97,-158.98,0.683779035232224,0.88,0.880188441765694,26,0.4731,0.272598628043714,"Ajax|Secondary|3d"
3,"Ajax","5d","Secondary",-4,-278.52,-270.72,0.498948764963334,0.8,0.798371432549148,38,0.6575,0.352389178728123,"Ajax|Secondary|5d"
3,"Ajax","7d","Secondary",3,-124.27,-127.82,0.216693288597132,0.55,0.551876137196607,15,0.9882,0.314147848347396,"Ajax|Secondary|7d"
3,"Pickering","1d","Total",0,-117.34,-115.31,1.44007890163636,0.4,0.402962143647877,22,0.1639,0.293908502265133,"Pickering|Total|1d"
3,"Ajax","3d","Total",5,-154.58,-151.36,0.934017417042172,0.73,0.734843582932104,26,0.2173,0.379269562412829,"Ajax|Total|3d"
3,"Pickering","5d","Total",3,-517.59,-486.95,0.776255061441636,0.84,0.843514163260671,81,0.1534,0.360172448281557,"Pickering|Total|5d"
3,"Ajax","5d","Total",-7,-203.33,-197.48,0.76329474852586,0.83,0.834420939428335,33,0.1157,0.395342898205235,"Ajax|Total|5d"
3,"Ajax","7d","Total",-3,-104.85,-104.9,0.586224740120163,0.39,0.388539563663986,15,0.4628,0.325537955969853,"Ajax|Total|7d"
4,"Pickering","1d","Elementary",6,-87.26,-85.91,2.02546008082969,0.41,0.411969022286081,20,0.916,0.0204606047709482,"Pickering|Elementary|1d"
4,"Ajax","3d","Elementary",-7,-118.71,-115.09,2.11939243827378,0.44,0.442501153930359,27,0.505,0.392702487495515,"Ajax|Elementary|3d"
4,"Pickering","1d","Secondary",7,-132.3,-130.01,1.07797043282053,0.2,0.198019167861547,23,0.2876,0.395592277060073,"Pickering|Secondary|1d"
4,"Pickering","7d","Secondary",-7,-615.47,-591.26,0.352036651644841,0.88,0.875383965323979,76,0.6069,0.38652478040818,"Pickering|Secondary|7d"
4,"Pickering","1d","Total",6,-91.33,-90.33,1.6338798680605,0.36,0.362454791197664,19,0.7124,0.175740137396368,"Pickering|Total|1d"
4,"Ajax","5d","Total",-3,-309.19,-294.66,1.16137127023821,0.63,0.634425575681978,55,0.7559,0.368145634474849,"Ajax|Total|5d"
5,"Pickering","1d","Elementary",0,-109.68,-118.8,0.705092217408615,0.92,0.921389566794426,21,0.1929,0.0702389099907885,"Pickering|Elementary|1d"
5,"Ajax","5d","Elementary",-6,-117.11,-127.02,0.293333342670108,0.95,0.948547715023816,17,0.8325,0.0157798268697359,"Ajax|Elementary|5d"
5,"Pickering","1d","Secondary",1,-169.72,-165.88,0.785110186848175,0.53,0.530006955650893,28,0.2003,0.0236025939445674,"Pickering|Secondary|1d"
5,"Ajax","5d","Secondary",-2,-170.13,-176.56,0.157002034123139,0.95,0.950684044008196,20,0.4732,0.0798055255924397,"Ajax|Secondary|5d"
5,"Pickering","1d","Total",1,-133.2,-130.52,1.34515957044282,0.58,0.582637316470361,26,0.675,0.30256951574795,"Pickering|Total|1d"
5,"Ajax","5d","Total",-2,-133.17,-138.5,0.412195669382074,0.89,0.892139667579162,20,0.0551,0.192431326619906,"Ajax|Total|5d"
6,"Pickering","1d","Elementary",7,-107.99,-109.88,1.1043812614548,0.8,0.796552134502799,22,0.3469,0.339014027104857,"Pickering|Elementary|1d"
6,"Ajax","3d","Elementary",-1,-79.36,-92.73,0.548931680641484,0.9,0.895597399734079,15,0.7489,0.284886176224587,"Ajax|Elementary|3d"
6,"Pickering","1d","Secondary",-6,-146.62,-144.17,0.806300617084007,0.54,0.535342016523689,24,0.0575,0.393197873439728,"Pickering|Secondary|1d"
6,"Ajax","3d","Secondary",0,-93.08,-96.01,0.732464808195164,0.56,0.556679660932253,15,0.0515,0.302333581298985,"Ajax|Secondary|3d"
6,"Pickering","1d","Total",1,-143.27,-139.63,1.25412774200435,0.57,0.571164197807033,27,0.1329,0.150419891467985,"Pickering|Total|1d"
6,"Ajax","3d","Total",-1,-88.08,-98.62,0.48971077322537,0.89,0.890360910078524,15,0.7002,0.297806185881199,"Ajax|Total|3d"
7,"Pickering","1d","Elementary",-6,-99.04,-96.73,2.0956650336135,0.42,0.421408511343584,23,0.4107,0.108785460077114,"Pickering|Elementary|1d"
7,"Ajax","7d","Elementary",0,-86.96,-96.14,0.511782085524063,0.85,0.853923107037843,15,0.4767,0.151088466846862,"Ajax|Elementary|7d"
7,"Pickering","1d","Secondary",1,-169.6,-165.22,0.958552470197761,0.38,0.380166240221576,29,0.448,0.386447841058052,"Pickering|Secondary|1d"
7,"Ajax","5d","Secondary",-4,-202.81,-199.07,0.54749675502659,0.46,0.463130714606652,28,0.822,0.353680900777078,"Ajax|Secondary|5d"
7,"Ajax","7d","Secondary",0,-118.75,-119.92,0.319275655709353,0.92,0.919449798497193,15,0.6863,0.0882487951300841,"Ajax|Secondary|7d"
7,"Pickering","1d","Total",1,-137.67,-138.45,1.00556886030363,0.75,0.751003426514266,27,0.8245,0.35712149058339,"Pickering|Total|1d"
7,"Ajax","7d","Total",0,-93.71,-103.12,0.411870958579898,0.89,0.889558527088923,15,0.8683,0.175301154651493,"Ajax|Total|7d"
8,"Pickering","1d","Elementary",7,-129.73,-128.81,0.8889416748683,0.89,0.887995772873643,22,0.4685,-0.225295354371162,"Pickering|Elementary|1d"
8,"Pickering","1d","Secondary",0,-149.71,-147.09,0.875723932790668,0.31,0.305524658987887,24,0.7893,0.038767483659557,"Pickering|Secondary|1d"
8,"Ajax","3d","Secondary",7,-124.34,-123.4,0.756548421656564,0.3,0.296994827550742,19,0.1106,0.3761613508056,"Ajax|Secondary|3d"
8,"Pickering","1d","Total",7,-133.57,-132.29,0.844200690743898,0.82,0.819604886012849,22,0.5912,-0.126676296711488,"Pickering|Total|1d"
9,"Pickering","1d","Elementary",-1,-94.06,-92.71,1.98905748026922,0.01,0.0129768734889374,20,0.3823,0.386270625539198,"Pickering|Elementary|1d"
9,"Ajax","3d","Elementary",5,-138.12,-134.83,1.32593068894988,0.65,0.64627038146771,26,0.6644,0.327048325951423,"Ajax|Elementary|3d"
9,"Pickering","1d","Secondary",0,-139.33,-137.07,1.00348799698696,0.14,0.141782986756195,23,0.5039,0.341972965110874,"Pickering|Secondary|1d"
9,"Ajax","3d","Total",7,-152.17,-149.41,0.907094736895891,0.81,0.807386816953687,26,0.0672,-0.0119534076597729,"Ajax|Total|3d"
9,"Ajax","5d","Total",7,-178.33,-173.78,1.09542456913667,0.81,0.809793569515719,35,0.422,0.390908696133966,"Ajax|Total|5d"
10,"Pickering","1d","Elementary",1,-134.87,-133.09,1.19653349965097,0.8,0.80370069773531,26,0.1478,0.0630096915675415,"Pickering|Elementary|1d"
10,"Ajax","3d","Elementary",0,-88.61,-92.32,0.933970263024684,0.81,0.810118030704658,17,0.5532,0.082857637753867,"Ajax|Elementary|3d"
10,"Ajax","7d","Elementary",-5,-103.41,-102.75,0.912059199241684,0.68,0.684225535080922,17,0.0909,0.398099367902312,"Ajax|Elementary|7d"
10,"Pickering","1d","Secondary",0,-149.43,-146.85,0.846992498806717,0.37,0.370793283503345,24,0.5124,0.0061205673173604,"Pickering|Secondary|1d"
10,"Ajax","3d","Secondary",-1,-105.1,-109.22,0.464623434938153,0.8,0.797302579712333,16,0.4851,0.231456677848027,"Ajax|Secondary|3d"
10,"Ajax","7d","Secondary",0,-138.71,-138.54,0.310966212203645,0.69,0.693535232356226,17,0.1058,0.205419335222493,"Ajax|Secondary|7d"
10,"Pickering","1d","Total",1,-145.87,-144.25,0.986357412304364,0.79,0.789324672364604,26,0.1703,0.0540008671326055,"Pickering|Total|1d"
10,"Ajax","3d","Total",6,-96.3,-97.98,0.770484637831038,0.84,0.83912268802253,16,0.4439,-0.0047240606290368,"Ajax|Total|3d"
10,"Ajax","7d","Total",-3,-107.32,-106.67,0.858301517235484,0.75,0.751145063642063,17,0.07,0.299344149114769,"Ajax|Total|7d"
11,"Pickering","1d","Elementary",1,-127.05,-123.41,1.76008274699506,0.53,0.526607368178427,27,0.9635,0.245381988563098,"Pickering|Elementary|1d"
11,"Ajax","1d","Elementary",-6,-67.57,-69.62,2.02259323604223,0.46,0.46205796717628,17,0.6673,0.298751636901857,"Ajax|Elementary|1d"
11,"Pickering","1d","Secondary",7,-156.85,-154.81,0.58185981903803,0.76,0.760769658371271,23,0.3951,-0.157611873694528,"Pickering|Secondary|1d"
11,"Ajax","1d","Secondary",-6,-101.1,-103.75,0.686955729150869,0.75,0.745393595524489,17,0.3343,0.256343314739455,"Ajax|Secondary|1d"
11,"Ajax","5d","Secondary",-3,-198.54,-193.3,0.783987392593716,0.8,0.79562532711918,33,0.9091,0.354886483151201,"Ajax|Secondary|5d"
11,"Pickering","1d","Total",1,-139.46,-135.82,1.4356141397815,0.5,0.502396293969038,27,0.9933,0.276210053926602,"Pickering|Total|1d"
11,"Ajax","1d","Total",-6,-78.07,-82.6,1.2448044966901,0.68,0.678686447164396,17,0.9711,0.205673737504341,"Ajax|Total|1d"
12,"Pickering","1d","Elementary",0,-97.75,-95.79,2.16106644997781,0.31,0.30874441374476,22,0.2399,0.395352116259434,"Pickering|Elementary|1d"
12,"Ajax","5d","Elementary",3,-234.15,-222.42,1.3048647575849,0.64,0.635316499820541,45,0.1179,0.366285454956825,"Ajax|Elementary|5d"
