"real","City","SMA","Level","Offset","AICc","BIC","RMSE","DevianceExplained","DevExact","SampleSize","ResidualShapiroWilkTest","ACFResidual","perm"
NA,"Pickering","1d","Elementary",1,-135.62,-134.24,1.19885715641233,0.8,0.79612472053042,27,0.3883,-0.102539153838595,"Pickering|Elementary|1d"
NA,"Ajax","1d","Elementary",1,-85.61,-88.19,1.48799390633322,0.7,0.701793603355795,19,0.0762,0.00779251005450365,"Ajax|Elementary|1d"
NA,"Pickering","3d","Elementary",-2,-400.68,-379.7,0.943477740943859,0.87,0.865934901165856,65,0.1177,0.342474745533447,"Pickering|Elementary|3d"
NA,"Ajax","3d","Elementary",-1,-279.39,-265.45,0.947020341367178,0.87,0.871954788739047,50,0.2269,0.18285032310562,"Ajax|Elementary|3d"
NA,"Pickering","7d","Elementary",2,-613.83,-579.6,0.447195802711217,0.97,0.96886962065198,83,0.751,0.326440160297718,"Pickering|Elementary|7d"
NA,"Pickering","1d","Secondary",1,-180.58,-177.42,0.653748150523741,0.7,0.698584383885465,29,0.2927,-0.0527084356385362,"Pickering|Secondary|1d"
NA,"Ajax","1d","Secondary",7,-86.1,-90.79,0.666828950101723,0.79,0.790313745134366,15,0.9694,-0.221919985581129,"Ajax|Secondary|1d"
NA,"Pickering","3d","Secondary",0,-534.28,-508.69,0.454449724183968,0.79,0.788723820358113,72,0.1191,0.259602792232052,"Pickering|Secondary|3d"
NA,"Pickering","5d","Secondary",2,-678.11,-643.35,0.270572480061402,0.93,0.928051526619222,82,0.6897,0.268361339329736,"Pickering|Secondary|5d"
NA,"Ajax","5d","Secondary",7,-439.49,-421.46,0.506229684040863,0.88,0.883572411946207,60,0.0654,0.284728941582031,"Ajax|Secondary|5d"
NA,"Pickering","7d","Secondary",-5,-694.59,-660.16,0.218438660789298,0.95,0.954695013766505,80,0.3052,0.318416350279407,"Pickering|Secondary|7d"
NA,"Pickering","1d","Total",1,-152.48,-151.19,0.906487868321377,0.82,0.819677673882715,27,0.3368,-0.104120761755153,"Pickering|Total|1d"
NA,"Ajax","1d","Total",1,-93.75,-94.32,1.34477510020726,0.63,0.629109015641898,19,0.148,0.0752082376375406,"Ajax|Total|1d"
NA,"Ajax","3d","Total",-1,-304.41,-291.7,0.94243279500556,0.79,0.785722752383565,50,0.2,0.392993285497997,"Ajax|Total|3d"
NA,"Pickering","7d","Total",-7,-563.78,-531.89,0.41564476165767,0.96,0.955242996218156,76,0.1023,0.396683577476493,"Pickering|Total|7d"
