"Permutation","City","Level","SMA","Offset","ObservedDev","NullMedian","Percentile","m","r","p","p_se","p_lo95","p_hi95"
"Pickering|Elementary|3d","Pickering","Elementary","3d",-2,0.865934901165856,0.745059561561441,1,64,0,0.0153846153846154,0.0152658134879026,0,0.0560090893866365
"Pickering|Secondary|7d","Pickering","Secondary","7d",-5,0.954695013766505,0.843110110839822,1,27,0,0.0357142857142857,0.0350707323593559,0,0.127702867615432
"Pickering|Elementary|7d","Pickering","Elementary","7d",2,0.96886962065198,0.865281190451717,1,22,0,0.0434782608695652,0.0425225779932022,0,0.154372512815575
"Pickering|Secondary|1d","Pickering","Secondary","1d",1,0.698584383885465,0.306253875550548,0.949,1000,51,0.051948051948052,0.00701428910120329,0.0382052367746862,0.0665134615949348
"Pickering|Secondary|5d","Pickering","Secondary","5d",2,0.928051526619222,0.783093099244145,1,17,0,0.0555555555555556,0.0539902953226417,0,0.195064322969093
"Pickering|Total|1d","Pickering","Total","1d",1,0.819677673882715,0.56172546781472,0.942771084337349,996,57,0.0581745235707121,0.00741317163697094,0.0436292553799184,0.0735142451918661
"Pickering|Secondary|3d","Pickering","Secondary","3d",0,0.788723820358113,0.660967286979472,0.955223880597015,67,3,0.0588235294117647,0.0285336029454509,0.00933084341275692,0.125327035993942
"Pickering|Total|7d","Pickering","Total","7d",-7,0.955242996218156,0.837213745877376,1,13,0,0.0714285714285714,0.0688302936899594,0,0.247052638000471
"Pickering|Elementary|1d","Pickering","Elementary","1d",1,0.79612472053042,0.54510870527181,0.923771313941825,997,76,0.0771543086172345,0.00844655016550709,0.0605266747586673,0.0944849714257697
"Ajax|Elementary|3d","Ajax","Elementary","3d",-1,0.871954788739047,0.724476427036966,0.857657657657658,555,79,0.143884892086331,0.014884569645016,0.114340672509455,0.174214759451424
"Ajax|Secondary|5d","Ajax","Secondary","5d",7,0.883572411946207,0.773947611634787,0.806841046277666,497,96,0.194779116465863,0.0177465541796227,0.159357624452881,0.230658372738173
"Ajax|Secondary|1d","Ajax","Secondary","1d",7,0.790313745134366,0.61105396117657,0.799568965517241,464,93,0.202150537634409,0.0186239352163572,0.164936271120302,0.239795061136393
"Ajax|Elementary|1d","Ajax","Elementary","1d",1,0.701793603355795,0.564365984850301,0.712574850299401,501,144,0.288844621513944,0.0202284466053269,0.24815361820317,0.329226349328823
"Ajax|Total|3d","Ajax","Total","3d",-1,0.785722752383565,0.753639687688985,0.587890625,512,211,0.413255360623782,0.0217407804635597,0.369112403108774,0.456126945916243
"Ajax|Total|1d","Ajax","Total","1d",1,0.629109015641898,0.587094600180111,0.56,500,220,0.441117764471058,0.0221829123758644,0.395957411203801,0.484756061030935
