"real","City","SMA","Level","Offset","AICc","BIC","RMSE","DevianceExplained","DevExact","SampleSize","ResidualShapiroWilkTest","ACFResidual","perm"
1,"Pickering","1d","Elementary",5,-65.25,-67.78,1.2980666367586,0.68,0.680197337546646,13,0.0747,-0.0518730017256384,"Pickering|Elementary|1d"
1,"Ajax","1d","Elementary",1,-48.84,-62.22,0.904062027675027,0.86,0.859388494161162,12,0.9596,-0.265032712737022,"Ajax|Elementary|1d"
1,"Ajax","3d","Elementary",4,-192.13,-182.52,1.78944673498841,0.69,0.689947125084846,41,0.6606,0.388437204411077,"Ajax|Elementary|3d"
1,"Pickering","5d","Elementary",2,-301.99,-289.61,0.615928199326586,0.81,0.81484676603721,46,0.7553,0.289293392491024,"Pickering|Elementary|5d"
1,"Ajax","7d","Elementary",-6,-475.46,-454.85,0.636127085086294,0.93,0.932467480084379,69,0.054,0.365711302286242,"Ajax|Elementary|7d"
1,"Pickering","1d","Secondary",0,-129.74,-130.06,0.610348428080829,0.47,0.474189861511976,20,0.9704,0.305421406100426,"Pickering|Secondary|1d"
1,"Pickering","7d","Secondary",-7,-529.86,-506.87,0.228316564829267,0.94,0.942918276273076,65,0.9567,0.337452683402407,"Pickering|Secondary|7d"
1,"Ajax","7d","Secondary",-4,-543.82,-515.34,0.394244787689155,0.91,0.914219815795696,72,0.8515,0.310601137998948,"Ajax|Secondary|7d"
1,"Pickering","1d","Total",2,-97.9,-99.65,1.06248187195827,0.67,0.669361069140538,19,0.2391,0.173770147411547,"Pickering|Total|1d"
1,"Ajax","1d","Total",1,-53.52,-66.76,0.796385497710183,0.85,0.854649355401345,12,0.7692,0.0220275524172079,"Ajax|Total|1d"
1,"Pickering","5d","Total",3,-304.97,-292.79,0.580236470863137,0.77,0.770980988271025,46,0.1217,0.308789553674531,"Pickering|Total|5d"
1,"Ajax","7d","Total",-6,-518.76,-498.63,0.456601822928034,0.94,0.944946289570917,69,0.3624,0.245059229389468,"Ajax|Total|7d"
2,"Pickering","1d","Elementary",-1,-102.69,-108.79,0.762320736064316,0.91,0.907318140921933,19,0.6281,0.117985485674631,"Pickering|Elementary|1d"
2,"Ajax","1d","Elementary",1,-82.3,-81.89,1.92975561667838,0.48,0.480383261028439,19,0.5054,0.257473877949066,"Ajax|Elementary|1d"
2,"Pickering","3d","Elementary",7,-211.31,-201.5,1.27875190011422,0.7,0.701575750893267,41,0.8859,0.361817370047362,"Pickering|Elementary|3d"
2,"Ajax","7d","Elementary",-4,-297.77,-290.39,0.506469186571618,0.95,0.950983974287194,47,0.1973,0.201366719443975,"Ajax|Elementary|7d"
2,"Pickering","1d","Secondary",2,-140.16,-142.62,0.45908160163091,0.83,0.826783334543084,21,0.1415,-0.127490031808702,"Pickering|Secondary|1d"
2,"Ajax","1d","Secondary",-6,-96.75,-96.08,1.08481676747444,0.23,0.228472435575802,17,0.1136,0.333362126141449,"Ajax|Secondary|1d"
2,"Pickering","3d","Secondary",-4,-305.29,-294.3,0.567999570191809,0.61,0.607281950916933,44,0.4999,0.357475644566308,"Pickering|Secondary|3d"
2,"Ajax","5d","Secondary",0,-317.27,-305.11,0.548883356670857,0.8,0.79781032409307,46,0.3466,0.390909818800677,"Ajax|Secondary|5d"
2,"Pickering","7d","Secondary",-5,-425.09,-406.56,0.34216773126102,0.88,0.875047957730397,57,0.446,0.354899865704056,"Pickering|Secondary|7d"
2,"Pickering","1d","Total",1,-125.99,-123.88,1.39166657858548,0.6,0.601119325643798,25,0.3602,0.369712347819712,"Pickering|Total|1d"
2,"Ajax","1d","Total",1,-87.57,-87.33,1.61811553441853,0.43,0.430691833581414,19,0.4552,0.367094760924263,"Ajax|Total|1d"
2,"Ajax","7d","Total",-4,-320.92,-313.62,0.391743854663754,0.96,0.957611814770358,47,0.6337,0.232731092149398,"Ajax|Total|7d"
3,"Pickering","1d","Elementary",-7,-92.21,-97.9,0.637341318001208,0.85,0.846949253861341,16,0.8444,0.20715139252211,"Pickering|Elementary|1d"
3,"Ajax","1d","Elementary",1,-81.77,-80.53,2.37093362171527,0.37,0.371069559725479,19,0.5158,0.147673836493834,"Ajax|Elementary|1d"
3,"Pickering","1d","Secondary",1,-129.17,-129.5,0.787232525461433,0.55,0.546254250056016,23,0.0803,-0.0214929101515227,"Pickering|Secondary|1d"
3,"Ajax","1d","Secondary",7,-76.15,-78.95,0.94440517168817,0.67,0.672665645301954,14,0.9746,-0.116501675467058,"Ajax|Secondary|1d"
3,"Ajax","5d","Secondary",6,-466.04,-445.66,0.508374917692653,0.89,0.888776539879781,64,0.2133,0.345517866623489,"Ajax|Secondary|5d"
3,"Ajax","7d","Secondary",-2,-562.14,-534.74,0.40747900420691,0.92,0.917362728208671,73,0.819,0.371355747043486,"Ajax|Secondary|7d"
3,"Pickering","1d","Total",1,-107.51,-108.08,1.23225517281521,0.58,0.581681569199988,21,0.0993,0.161447706358732,"Pickering|Total|1d"
3,"Ajax","1d","Total",1,-88.15,-86.91,1.9310917257629,0.33,0.330229012831784,19,0.8257,0.23166359200745,"Ajax|Total|1d"
3,"Ajax","5d","Total",0,-419.27,-395.25,0.738347129775748,0.89,0.888978154571476,66,0.0781,0.363211047389609,"Ajax|Total|5d"
4,"Pickering","1d","Elementary",1,-100.26,-98.52,1.93921896999957,0.51,0.506131586161491,22,0.5365,0.384959043396533,"Pickering|Elementary|1d"
4,"Ajax","1d","Elementary",-6,-66.21,-73.13,0.940933706195785,0.81,0.805792728834011,14,0.1681,0.0830838929982056,"Ajax|Elementary|1d"
4,"Ajax","3d","Elementary",1,-240.81,-228.32,1.2204318213781,0.81,0.811229777279082,46,0.5198,0.232560558479662,"Ajax|Elementary|3d"
4,"Pickering","1d","Secondary",1,-141.44,-139.23,0.864672397359153,0.3,0.299679685187808,23,0.2951,0.378631165204435,"Pickering|Secondary|1d"
4,"Ajax","1d","Secondary",-6,-89.55,-90.03,0.729176786695358,0.69,0.688058713162134,14,0.6194,0.0127961543605502,"Ajax|Secondary|1d"
4,"Pickering","1d","Total",1,-109.94,-108.25,1.55040771026451,0.47,0.470978917016619,22,0.3364,0.381347606500945,"Pickering|Total|1d"
4,"Ajax","1d","Total",-6,-66.1,-74.12,0.885813845578386,0.74,0.736452496274157,14,0.2328,0.182906691919857,"Ajax|Total|1d"
4,"Pickering","3d","Total",-3,-300.8,-290.18,1.2824536396135,0.52,0.517073567327299,54,0.1016,0.243436830899042,"Pickering|Total|3d"
4,"Ajax","3d","Total",1,-260.12,-247.68,0.999498783029228,0.79,0.790828175137484,46,0.7543,0.361393665256318,"Ajax|Total|3d"
