"Permutation","City","Level","SMA","Offset","ObservedDev","NullMedian","Percentile","m","r","p","p_se","p_lo95","p_hi95"
"Pickering|Secondary|5d","Pickering","Secondary","5d",2,0.928051526619222,0.805279149403533,0.958762886597938,97,4,0.0510204081632653,0.0222273333556515,0.0113482725688341,0.10222746629841
"Pickering|Elementary|3d","Pickering","Elementary","3d",-2,0.865934901165856,0.69678916999527,0.954022988505747,87,4,0.0568181818181818,0.0246774363338662,0.0126673758206414,0.113553447966661
"Pickering|Elementary|7d","Pickering","Elementary","7d",2,0.96886962065198,0.891811765393614,0.950819672131147,61,3,0.0645161290322581,0.0312001339241726,0.0102593151683208,0.137069221915894
"Pickering|Secondary|7d","Pickering","Secondary","7d",-5,0.954695013766505,0.87628376837858,0.935483870967742,62,4,0.0793650793650794,0.0340555716585603,0.0178566971636505,0.157028084037574
"Pickering|Total|7d","Pickering","Total","7d",-7,0.955242996218156,0.894785516261498,0.896551724137931,58,6,0.11864406779661,0.0420990867031827,0.0389208319223642,0.211686457798797
"Ajax|Elementary|3d","Ajax","Elementary","3d",-1,0.871954788739047,0.787848247998377,0.868852459016393,61,8,0.145161290322581,0.0447374942184178,0.0583605058397405,0.242158688683362
"Pickering|Total|1d","Pickering","Total","1d",1,0.819677673882715,0.612612890603539,0.83756345177665,197,32,0.166666666666667,0.0264850719234887,0.113838004610105,0.221503917383786
"Pickering|Secondary|3d","Pickering","Secondary","3d",0,0.788723820358113,0.690918403306762,0.839622641509434,106,17,0.168224299065421,0.0361622620805052,0.0962918090905229,0.244316484305879
"Pickering|Elementary|1d","Pickering","Elementary","1d",1,0.79612472053042,0.644400607742014,0.786802030456853,197,42,0.217171717171717,0.0293023392068269,0.158185162429272,0.277054720645215
"Pickering|Secondary|1d","Pickering","Secondary","1d",1,0.698584383885465,0.484732011512034,0.767676767676768,198,46,0.236180904522613,0.0301086378748835,0.175392199224522,0.297453089993522
"Ajax|Secondary|1d","Ajax","Secondary","1d",7,0.790313745134366,0.638955098154311,0.767676767676768,198,46,0.236180904522613,0.0301086378748835,0.175392199224522,0.297453089993522
"Ajax|Secondary|5d","Ajax","Secondary","5d",7,0.883572411946207,0.85463750339819,0.698630136986301,73,22,0.310810810810811,0.0538023724351241,0.199439609857384,0.420011504597767
"Ajax|Elementary|1d","Ajax","Elementary","1d",1,0.701793603355795,0.653336657147528,0.61,200,78,0.393034825870647,0.0344508050381772,0.32199106211524,0.461321232544998
"Ajax|Total|1d","Ajax","Total","1d",1,0.629109015641898,0.679475305637822,0.385,200,123,0.616915422885572,0.0342895763204543,0.543761307216855,0.682775474637133
"Ajax|Total|3d","Ajax","Total","3d",-1,0.785722752383565,0.818714420709774,0.352941176470588,51,33,0.653846153846154,0.0659736778727153,0.500681979116747,0.775693796664303
